Date,close,atr,atr_sma,adx,plus_di,minus_di,direction,volatility,regime,action,activation
2020-10-21,1.2954038381576538,0.013576463241482178,0.013652549239047624,12.813441360885793,25.547201248208296,14.756653749440025,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-22,1.3131976127624512,0.014005977477939158,0.013705729663132724,13.810552054284452,22.994918265635615,13.282396124172577,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-10-23,1.307805061340332,0.01378609888341072,0.01375734768147045,14.110793571050865,21.69298027139222,15.070441922606621,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-10-26,1.3054660558700562,0.013391369853430247,0.013809826532894696,14.0548280985704,20.737238485986076,15.859843951595268,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-27,1.301574945449829,0.0129729201085633,0.01385025107283154,14.053936673285325,20.168941001937327,15.202026590500836,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-28,1.303186297416687,0.013082952484732992,0.013885739789437584,13.054149485764055,18.570790542508657,18.591942101253665,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-29,1.2989881038665771,0.013207409027658733,0.01391303030496604,12.498164366309755,17.08180832935702,18.982527891209898,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-30,1.2931926250457764,0.012905581520054795,0.01392394206495155,11.981892469673618,16.232641996437888,18.038873490685397,Sideways,Quiet,Sideways Quiet,proceed,active
2020-11-02,1.2926744222640991,0.012595859910668559,0.013924060662888274,11.976237592092044,15.443804090824099,19.616994208996015,Sideways,Quiet,Sideways Quiet,proceed,active
2020-11-03,1.2923903465270996,0.01284591219915387,0.013931341568908254,11.78824303830724,21.54327906895533,17.861200803048426,Sideways,Quiet,Sideways Quiet,proceed,active
2020-11-04,1.3121638298034668,0.013498171601419421,0.01394934163233035,12.160093668133394,22.246999028008585,15.78396008422969,Sideways,Quiet,Sideways Quiet,proceed,active
2020-11-05,1.2966804504394531,0.0138901243350635,0.013974946265153314,12.505383538686251,20.07500047354881,14.24295500559251,Sideways,Quiet,Sideways Quiet,proceed,active
2020-11-06,1.3139395713806152,0.014391690539763729,0.014004972308981909,13.214335362428844,20.146995226453548,12.764674369050173,Sideways,Volatile,Sideways Volatile,stay_out,disabled
